Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,094029,2018,01,01,22.9,1,Y
IDCJAC0010,094029,2018,01,02,23.6,1,Y
IDCJAC0010,094029,2018,01,03,21.9,1,Y
IDCJAC0010,094029,2018,01,04,26.5,1,Y
IDCJAC0010,094029,2018,01,05,22.3,1,Y
IDCJAC0010,094029,2018,01,06,35.8,1,Y
IDCJAC0010,094029,2018,01,07,22.6,1,Y
IDCJAC0010,094029,2018,01,08,26.6,1,Y
IDCJAC0010,094029,2018,01,09,19.4,1,Y
IDCJAC0010,094029,2018,01,10,21.0,1,Y
IDCJAC0010,094029,2018,01,11,28.3,1,Y
IDCJAC0010,094029,2018,01,12,29.1,1,Y
IDCJAC0010,094029,2018,01,13,15.8,1,Y
IDCJAC0010,094029,2018,01,14,19.1,1,Y
IDCJAC0010,094029,2018,01,15,20.0,1,Y
IDCJAC0010,094029,2018,01,16,20.2,1,Y
IDCJAC0010,094029,2018,01,17,20.6,1,Y
IDCJAC0010,094029,2018,01,18,31.2,1,Y
IDCJAC0010,094029,2018,01,19,29.5,1,Y
IDCJAC0010,094029,2018,01,20,20.8,1,Y
IDCJAC0010,094029,2018,01,21,22.5,1,Y
IDCJAC0010,094029,2018,01,22,24.6,1,Y
IDCJAC0010,094029,2018,01,23,27.2,1,Y
IDCJAC0010,094029,2018,01,24,28.1,1,Y
IDCJAC0010,094029,2018,01,25,26.9,1,Y
IDCJAC0010,094029,2018,01,26,21.8,1,Y
IDCJAC0010,094029,2018,01,27,28.1,1,Y
IDCJAC0010,094029,2018,01,28,36.7,1,Y
IDCJAC0010,094029,2018,01,29,26.1,1,Y
IDCJAC0010,094029,2018,01,30,20.6,1,Y
IDCJAC0010,094029,2018,01,31,16.1,1,Y
IDCJAC0010,094029,2018,02,01,21.6,1,Y
IDCJAC0010,094029,2018,02,02,20.3,1,Y
IDCJAC0010,094029,2018,02,03,21.2,1,Y
IDCJAC0010,094029,2018,02,04,19.2,1,Y
IDCJAC0010,094029,2018,02,05,20.4,1,Y
IDCJAC0010,094029,2018,02,06,24.5,1,Y
IDCJAC0010,094029,2018,02,07,26.6,1,Y
IDCJAC0010,094029,2018,02,08,22.0,1,Y
IDCJAC0010,094029,2018,02,09,23.1,1,Y
IDCJAC0010,094029,2018,02,10,30.5,1,Y
IDCJAC0010,094029,2018,02,11,20.3,1,Y
IDCJAC0010,094029,2018,02,12,23.0,1,Y
IDCJAC0010,094029,2018,02,13,20.9,1,Y
IDCJAC0010,094029,2018,02,14,18.8,1,Y
IDCJAC0010,094029,2018,02,15,21.2,1,Y
IDCJAC0010,094029,2018,02,16,17.8,1,Y
IDCJAC0010,094029,2018,02,17,23.6,1,Y
IDCJAC0010,094029,2018,02,18,18.5,1,Y
IDCJAC0010,094029,2018,02,19,15.5,1,Y
IDCJAC0010,094029,2018,02,20,18.1,1,Y
IDCJAC0010,094029,2018,02,21,23.1,1,Y
IDCJAC0010,094029,2018,02,22,22.2,1,Y
IDCJAC0010,094029,2018,02,23,22.4,1,Y
IDCJAC0010,094029,2018,02,24,22.7,1,Y
IDCJAC0010,094029,2018,02,25,16.7,1,Y
IDCJAC0010,094029,2018,02,26,22.7,1,Y
IDCJAC0010,094029,2018,02,27,26.3,1,Y
IDCJAC0010,094029,2018,02,28,25.5,1,Y
IDCJAC0010,094029,2018,03,01,20.2,1,Y
IDCJAC0010,094029,2018,03,02,23.1,1,Y
IDCJAC0010,094029,2018,03,03,26.8,1,Y
IDCJAC0010,094029,2018,03,04,21.3,1,Y
IDCJAC0010,094029,2018,03,05,19.5,1,Y
IDCJAC0010,094029,2018,03,06,20.5,1,Y
IDCJAC0010,094029,2018,03,07,21.0,1,Y
IDCJAC0010,094029,2018,03,08,20.7,1,Y
IDCJAC0010,094029,2018,03,09,24.4,1,Y
IDCJAC0010,094029,2018,03,10,28.2,1,Y
IDCJAC0010,094029,2018,03,11,25.0,1,Y
IDCJAC0010,094029,2018,03,12,21.8,1,Y
IDCJAC0010,094029,2018,03,13,23.7,1,Y
IDCJAC0010,094029,2018,03,14,21.4,1,Y
IDCJAC0010,094029,2018,03,15,19.4,1,Y
