Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,094029,2017,01,01,18.4,1,Y
IDCJAC0010,094029,2017,01,02,19.6,1,Y
IDCJAC0010,094029,2017,01,03,20.8,1,Y
IDCJAC0010,094029,2017,01,04,24.1,1,Y
IDCJAC0010,094029,2017,01,05,20.9,1,Y
IDCJAC0010,094029,2017,01,06,23.0,1,Y
IDCJAC0010,094029,2017,01,07,27.4,1,Y
IDCJAC0010,094029,2017,01,08,31.3,1,Y
IDCJAC0010,094029,2017,01,09,24.5,1,Y
IDCJAC0010,094029,2017,01,10,24.4,1,Y
IDCJAC0010,094029,2017,01,11,22.1,1,Y
IDCJAC0010,094029,2017,01,12,23.9,1,Y
IDCJAC0010,094029,2017,01,13,26.7,1,Y
IDCJAC0010,094029,2017,01,14,19.6,1,Y
IDCJAC0010,094029,2017,01,15,20.7,1,Y
IDCJAC0010,094029,2017,01,16,24.3,1,Y
IDCJAC0010,094029,2017,01,17,24.1,1,Y
IDCJAC0010,094029,2017,01,18,19.6,1,Y
IDCJAC0010,094029,2017,01,19,17.6,1,Y
IDCJAC0010,094029,2017,01,20,15.8,1,Y
IDCJAC0010,094029,2017,01,21,22.5,1,Y
IDCJAC0010,094029,2017,01,22,23.9,1,Y
IDCJAC0010,094029,2017,01,23,26.1,1,Y
IDCJAC0010,094029,2017,01,24,21.1,1,Y
IDCJAC0010,094029,2017,01,25,24.9,1,Y
IDCJAC0010,094029,2017,01,26,23.5,1,Y
IDCJAC0010,094029,2017,01,27,27.9,1,Y
IDCJAC0010,094029,2017,01,28,25.7,1,Y
IDCJAC0010,094029,2017,01,29,22.8,1,Y
IDCJAC0010,094029,2017,01,30,25.2,1,Y
IDCJAC0010,094029,2017,01,31,21.7,1,Y
IDCJAC0010,094029,2017,02,01,20.7,1,N
IDCJAC0010,094029,2017,02,02,21.3,1,N
IDCJAC0010,094029,2017,02,03,23.9,1,N
IDCJAC0010,094029,2017,02,04,27.8,1,N
IDCJAC0010,094029,2017,02,05,26.5,1,N
IDCJAC0010,094029,2017,02,06,19.6,1,N
IDCJAC0010,094029,2017,02,07,19.2,1,N
IDCJAC0010,094029,2017,02,08,25.2,1,N
IDCJAC0010,094029,2017,02,09,24.6,1,N
IDCJAC0010,094029,2017,02,10,25.7,1,N
IDCJAC0010,094029,2017,02,11,23.0,1,N
IDCJAC0010,094029,2017,02,12,18.6,1,N
IDCJAC0010,094029,2017,02,13,17.2,1,N
IDCJAC0010,094029,2017,02,14,22.6,1,N
IDCJAC0010,094029,2017,02,15,27.7,1,N
IDCJAC0010,094029,2017,02,16,23.6,1,N
IDCJAC0010,094029,2017,02,17,24.5,1,N
IDCJAC0010,094029,2017,02,18,20.2,1,N
IDCJAC0010,094029,2017,02,19,17.3,1,N
IDCJAC0010,094029,2017,02,20,18.1,1,N
IDCJAC0010,094029,2017,02,21,21.0,1,N
IDCJAC0010,094029,2017,02,22,28.1,1,N
IDCJAC0010,094029,2017,02,23,27.7,1,N
IDCJAC0010,094029,2017,02,24,21.2,1,N
IDCJAC0010,094029,2017,02,25,18.0,1,N
IDCJAC0010,094029,2017,02,26,24.1,1,N
IDCJAC0010,094029,2017,02,27,26.6,1,N
IDCJAC0010,094029,2017,02,28,26.6,1,N
IDCJAC0010,094029,2017,03,01,24.4,1,Y
IDCJAC0010,094029,2017,03,02,23.6,1,Y
IDCJAC0010,094029,2017,03,03,18.8,1,Y
IDCJAC0010,094029,2017,03,04,23.1,1,Y
IDCJAC0010,094029,2017,03,05,20.8,1,Y
IDCJAC0010,094029,2017,03,06,18.2,1,Y
IDCJAC0010,094029,2017,03,07,21.5,1,Y
IDCJAC0010,094029,2017,03,08,21.8,1,Y
IDCJAC0010,094029,2017,03,09,23.2,1,Y
IDCJAC0010,094029,2017,03,10,23.7,1,Y
IDCJAC0010,094029,2017,03,11,20.9,1,Y
IDCJAC0010,094029,2017,03,12,20.4,1,Y
IDCJAC0010,094029,2017,03,13,22.6,1,Y
IDCJAC0010,094029,2017,03,14,32.1,1,Y
IDCJAC0010,094029,2017,03,15,31.7,1,Y
IDCJAC0010,094029,2017,03,16,25.2,1,Y
