Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,094029,2021,01,01,18.2,1,N
IDCJAC0010,094029,2021,01,02,22.9,1,N
IDCJAC0010,094029,2021,01,03,22.6,1,N
IDCJAC0010,094029,2021,01,04,21.3,1,N
IDCJAC0010,094029,2021,01,05,21.6,1,N
IDCJAC0010,094029,2021,01,06,19.6,1,N
IDCJAC0010,094029,2021,01,07,19.1,1,N
IDCJAC0010,094029,2021,01,08,21.2,1,N
IDCJAC0010,094029,2021,01,09,22.3,1,N
IDCJAC0010,094029,2021,01,10,22.3,1,N
IDCJAC0010,094029,2021,01,11,36.3,1,N
IDCJAC0010,094029,2021,01,12,20.5,1,N
IDCJAC0010,094029,2021,01,13,26.8,1,N
IDCJAC0010,094029,2021,01,14,24.6,1,N
IDCJAC0010,094029,2021,01,15,15.9,1,N
IDCJAC0010,094029,2021,01,16,18.4,1,N
IDCJAC0010,094029,2021,01,17,22.0,1,N
IDCJAC0010,094029,2021,01,18,23.3,1,N
IDCJAC0010,094029,2021,01,19,18.1,1,N
IDCJAC0010,094029,2021,01,20,18.5,1,N
IDCJAC0010,094029,2021,01,21,21.1,1,N
IDCJAC0010,094029,2021,01,22,21.8,1,N
IDCJAC0010,094029,2021,01,23,28.1,1,N
IDCJAC0010,094029,2021,01,24,25.9,1,N
IDCJAC0010,094029,2021,01,25,37.5,1,N
IDCJAC0010,094029,2021,01,26,22.6,1,N
IDCJAC0010,094029,2021,01,27,16.4,1,N
IDCJAC0010,094029,2021,01,28,,,
IDCJAC0010,094029,2021,01,29,20.5,1,N
IDCJAC0010,094029,2021,01,30,25.5,1,N
IDCJAC0010,094029,2021,01,31,21.3,1,N
IDCJAC0010,094029,2021,02,01,25.2,1,Y
IDCJAC0010,094029,2021,02,02,20.5,1,Y
IDCJAC0010,094029,2021,02,03,19.3,1,Y
IDCJAC0010,094029,2021,02,04,25.3,1,Y
IDCJAC0010,094029,2021,02,05,25.0,1,Y
IDCJAC0010,094029,2021,02,06,26.9,1,Y
IDCJAC0010,094029,2021,02,07,20.6,1,Y
IDCJAC0010,094029,2021,02,08,20.6,1,Y
IDCJAC0010,094029,2021,02,09,15.8,1,Y
IDCJAC0010,094029,2021,02,10,20.1,1,Y
IDCJAC0010,094029,2021,02,11,24.2,1,Y
IDCJAC0010,094029,2021,02,12,23.8,1,Y
IDCJAC0010,094029,2021,02,13,20.4,1,Y
IDCJAC0010,094029,2021,02,14,21.8,1,Y
IDCJAC0010,094029,2021,02,15,18.9,1,Y
IDCJAC0010,094029,2021,02,16,23.3,1,Y
IDCJAC0010,094029,2021,02,17,29.2,1,Y
IDCJAC0010,094029,2021,02,18,30.5,1,Y
IDCJAC0010,094029,2021,02,19,31.8,1,Y
IDCJAC0010,094029,2021,02,20,20.5,1,Y
IDCJAC0010,094029,2021,02,21,21.4,1,Y
IDCJAC0010,094029,2021,02,22,21.1,1,Y
IDCJAC0010,094029,2021,02,23,19.3,1,Y
IDCJAC0010,094029,2021,02,24,23.5,1,Y
IDCJAC0010,094029,2021,02,25,20.0,1,Y
IDCJAC0010,094029,2021,02,26,19.7,1,Y
IDCJAC0010,094029,2021,02,27,18.5,1,Y
IDCJAC0010,094029,2021,02,28,21.4,1,Y
IDCJAC0010,094029,2021,03,01,21.0,1,Y
IDCJAC0010,094029,2021,03,02,16.3,1,Y
IDCJAC0010,094029,2021,03,03,19.1,1,Y
IDCJAC0010,094029,2021,03,04,22.3,1,Y
IDCJAC0010,094029,2021,03,05,16.7,1,Y
IDCJAC0010,094029,2021,03,06,18.5,1,Y
IDCJAC0010,094029,2021,03,07,19.1,1,Y
IDCJAC0010,094029,2021,03,08,20.3,1,Y
IDCJAC0010,094029,2021,03,09,21.0,1,Y
IDCJAC0010,094029,2021,03,10,19.8,1,Y
IDCJAC0010,094029,2021,03,11,21.2,1,Y
IDCJAC0010,094029,2021,03,12,29.1,1,Y
IDCJAC0010,094029,2021,03,13,22.3,1,Y
IDCJAC0010,094029,2021,03,14,20.3,1,Y
IDCJAC0010,094029,2021,03,15,22.7,1,Y
IDCJAC0010,094029,2021,03,16,18.1,1,Y
IDCJAC0010,094029,2021,03,17,21.9,1,Y
IDCJAC0010,094029,2021,03,18,24.9,1,Y
IDCJAC0010,094029,2021,03,19,23.7,1,Y
IDCJAC0010,094029,2021,03,20,23.1,1,Y
IDCJAC0010,094029,2021,03,21,24.6,1,Y
IDCJAC0010,094029,2021,03,22,25.7,1,Y
